import time: self [us] | cumulative | imported package
import time:      1011 |       1011 |                         numpy.lib.arrayterator
import time:      1109 |       1109 |                         numpy.lib.arraypad
import time:       948 |        948 |                         numpy.lib._version
import time:      1366 |      41356 |                       numpy.lib
import time:       626 |        626 |                           numpy.fft._pocketfft_internal
import time:      1347 |       1973 |                         numpy.fft._pocketfft
import time:      1063 |       1063 |                         numpy.fft.helper
import time:      1007 |       4042 |                       numpy.fft
import time:       970 |        970 |                           numpy.polynomial.polyutils
import time:      1140 |       1140 |                           numpy.polynomial._polybase
import time:      1377 |       3486 |                         numpy.polynomial.polynomial
import time:      1120 |       1120 |                         numpy.polynomial.chebyshev
import time:      1064 |       1064 |                         numpy.polynomial.legendre
import time:      1039 |       1039 |                         numpy.polynomial.hermite
import time:      1116 |       1116 |                         numpy.polynomial.hermite_e
import time:      1300 |       1300 |                         numpy.polynomial.laguerre
import time:      1071 |      10194 |                       numpy.polynomial
import time:       435 |        435 |                                 backports_abc
import time:      1135 |       1570 |                               numpy.random._common
import time:      1076 |       1076 |                               secrets
import time:      1058 |       3702 |                             numpy.random.bit_generator
import time:       775 |        775 |                             numpy.random._bounded_integers
import time:       849 |        849 |                             numpy.random._mt19937
import time:      1636 |       6962 |                           numpy.random.mtrand
import time:       783 |        783 |                           numpy.random._philox
import time:       805 |        805 |                           numpy.random._pcg64
import time:       709 |        709 |                           numpy.random._sfc64
import time:      1204 |       1204 |                           numpy.random._generator
import time:      1296 |      11757 |                         numpy.random._pickle
import time:      1195 |      12951 |                       numpy.random
import time:      1164 |       1164 |                       numpy.ctypeslib
import time:      3107 |       3107 |                         numpy.ma.core
import time:      1633 |       1633 |                         numpy.ma.extras
import time:      1122 |       5861 |                       numpy.ma
import time:      2543 |     128494 |                     numpy
import time:      1178 |       1178 |                     transformers.utils.logging
import time:     45962 |      45962 |                     transformers.utils.import_utils
import time:      1210 |       1210 |                       glob
import time:      2765 |       2765 |                       typing_extensions
import time:      1746 |       1746 |                       torch._utils
import time:       959 |        959 |                           torch._strobelight
import time:        76 |         76 |                               gc
import time:      1051 |       1127 |                             timeit
import time:      1032 |       2158 |                           torch._strobelight.cli_function_profiler
import time:      1052 |       4168 |                         torch._strobelight.compile_time_profiler
import time:       981 |       5148 |                       torch._utils_internal
import time:      1020 |       1020 |                             torch._vendor
import time:       995 |       2014 |                           torch._vendor.packaging
import time:       789 |        789 |                           torch._vendor.packaging._structures
import time:      1602 |       4404 |                         torch._vendor.packaging.version
import time:       818 |        818 |                         torch.version
import time:       919 |       6140 |                       torch.torch_version
import time:      1243 |       1243 |                       sysconfig
import time:     33071 |      33071 |                       torch._C
import time:       590 |        590 |                         torch._namedtensor_internals
import time:      1598 |       1598 |                         torch.overrides
import time:      1407 |       3594 |                       torch._tensor
import time:       892 |        892 |                         torch.types
import time:      1200 |       2092 |                       torch.storage
import time:      1015 |       1015 |                         torch.amp.autocast_mode
import time:       881 |        881 |                         torch.amp.grad_scaler
import time:       970 |       2866 |                       torch.amp
import time:       670 |        670 |                       torch.random
import time:      1933 |       1933 |                         difflib
import time:       331 |        331 |                           pwd
import time:       251 |        251 |                           grp
import time:      1484 |       2065 |                         tarfile
import time:       869 |        869 |                         torch._weights_only_unpickler
import time:       957 |        957 |                         torch._sources
import time:      1584 |       7407 |                       torch.serialization
import time:      1330 |       1330 |                       torch._tensor_str
