import time: self [us] | cumulative | imported package
import time:      1120 |       1120 |             yaml.parser
import time:       813 |        813 |             yaml.composer
import time:      1614 |       1614 |             yaml.constructor
import time:      2381 |       2381 |             yaml.resolver
import time:      1076 |      13978 |           yaml.loader
import time:      1064 |       1064 |             yaml.emitter
import time:       864 |        864 |             yaml.serializer
import time:      1564 |       1564 |             yaml.representer
import time:      1087 |       4579 |           yaml.dumper
import time:      1143 |       1143 |             yaml._yaml
import time:      1015 |       2157 |           yaml.cyaml
import time:      1167 |      26154 |         yaml
import time:       955 |        955 |             filelock._error
import time:      1879 |       2833 |           filelock._api
import time:       802 |        802 |             filelock._util
import time:      1173 |       1974 |           filelock._soft
import time:       875 |        875 |           filelock._unix
import time:       955 |        955 |           filelock._windows
import time:      1510 |       1510 |           filelock.asyncio
import time:       827 |        827 |           filelock.version
import time:      1201 |      10173 |         filelock
import time:       919 |      37245 |       huggingface_hub.utils._fixes
import time:       807 |        807 |         huggingface_hub.utils._subprocess
import time:      1167 |       1973 |       huggingface_hub.utils._git_credential
import time:       730 |        730 |         huggingface_hub.utils._deprecation
import time:       761 |        761 |           huggingface_hub.utils._typing
import time:       918 |       1679 |         huggingface_hub.utils._validators
import time:      1092 |       3500 |       huggingface_hub.utils._headers
import time:       860 |        860 |       huggingface_hub.utils._hf_folder
import time:       907 |        907 |         shlex
import time:       852 |        852 |         huggingface_hub.utils._lfs
import time:      1537 |       3294 |       huggingface_hub.utils._http
import time:       864 |        864 |       huggingface_hub.utils._pagination
import time:       933 |        933 |       huggingface_hub.utils._paths
import time:      1750 |       1750 |       huggingface_hub.utils._safetensors
import time:      1017 |       1017 |       huggingface_hub.utils._telemetry
import time:      2103 |       2103 |       huggingface_hub.utils._xet
import time:      1067 |      89220 |     huggingface_hub.utils
import time:      2284 |      91503 |   huggingface_hub._local_folder
import time:       652 |        652 |     huggingface_hub.utils.insecure_hashlib
import time:       874 |       1526 |   huggingface_hub.utils.sha
import time:      2188 |      98466 | huggingface_hub.file_download
import time:      1004 |       1004 |   concurrent.futures.thread
import time:      1307 |       1307 |     huggingface_hub.lfs
import time:      2292 |       3598 |   huggingface_hub._commit_api
import time:      1701 |       1701 |   huggingface_hub._inference_endpoints
import time:      1837 |       1837 |     huggingface_hub._space_api
import time:      2099 |       3936 |   huggingface_hub._jobs_api
import time:      1365 |       1365 |   huggingface_hub._upload_large_folder
import time:      3091 |       3091 |   huggingface_hub.community
import time:      2433 |       2433 |   huggingface_hub.repocard_data
import time:       882 |        882 |   huggingface_hub.utils.endpoint_helpers
import time:     13922 |      31928 | huggingface_hub.hf_api
import time:      1090 |       1090 | netrc
import time:      1823 |       1823 | _strptime
import time:       979 |        979 |     multiprocessing.process
import time:      1009 |       1009 |         _compat_pickle
import time:       126 |        126 |         _pickle
import time:       378 |        378 |             org
import time:        19 |        396 |           org.python
import time:        14 |        410 |         org.python.core
import time:      1612 |       3156 |       pickle
import time:      1024 |       4179 |     multiprocessing.reduction
import time:      1197 |       6354 |   multiprocessing.context
import time:      1039 |       7393 | multiprocessing
import time:       889 |        889 |   _multiprocessing
import time:      1121 |       1121 |   multiprocessing.util
import time:      1264 |       3274 | multiprocessing.synchronize
C:\Users\vince\pythonPG\vec\vecalign\venv\lib\site-packages\huggingface_hub\file_download.py:982: UserWarning: `local_dir_use_symlinks` parameter is deprecated and will be ignored. The process to download files to a local folder has been updated and do not rely on symlinks anymore. You only need to pass a destination folder as`local_dir`.
For more details, check out https://huggingface.co/docs/huggingface_hub/main/en/guides/download#download-files-to-local-folder.
  warnings.warn(

Fetching 28 files:   0%|          | 0/28 [00:00<?, ?it/s]
Fetching 28 files: 100%|##########| 28/28 [00:00<00:00, 971.33it/s]
import time:       808 |        808 |             transformers.dependency_versions_table
import time:       802 |        802 |                 packaging
import time:       620 |        620 |                   packaging._structures
import time:      2713 |       3333 |                 packaging.version
import time:      2652 |       2652 |                         regex._regex
import time:      5786 |       8437 |                       regex._regex_core
import time:       167 |        167 |                       regex.DEFAULT_VERSION
import time:      1111 |       9714 |                     regex.regex
import time:       983 |      10697 |                   regex
import time:      1071 |       1071 |                   transformers.utils.doc
import time:       973 |        973 |                           numpy._utils._convertions
import time:       756 |       1729 |                         numpy._utils
import time:      1073 |       2801 |                       numpy._globals
import time:       930 |        930 |                       numpy.exceptions
import time:       772 |        772 |                       numpy.version
import time:       112 |        112 |                         numpy._distributor_init_local
import time:       870 |        982 |                       numpy._distributor_init
import time:       636 |        636 |                                 numpy._utils._inspect
import time:       979 |        979 |                                   numpy.core._exceptions
import time:       702 |        702 |                                   numpy.dtypes
import time:      3455 |       5135 |                                 numpy.core._multiarray_umath
import time:       918 |       6689 |                               numpy.core.overrides
import time:      1361 |       8049 |                             numpy.core.multiarray
import time:       917 |        917 |                             numpy.core.umath
import time:       715 |        715 |                               numpy.core._string_helpers
import time:       330 |        330 |                                     pickle5
import time:       864 |       1193 |                                   numpy.compat.py3k
import time:       730 |       1923 |                                 numpy.compat
import time:       788 |        788 |                                 numpy.core._dtype
import time:      1019 |       3729 |                               numpy.core._type_aliases
import time:      1081 |       5525 |                             numpy.core.numerictypes
import time:       833 |        833 |                                     numpy.core._ufunc_config
import time:       906 |       1739 |                                   numpy.core._methods
import time:      1247 |       2986 |                                 numpy.core.fromnumeric
import time:       876 |       3861 |                               numpy.core.shape_base
import time:      1259 |       1259 |                               numpy.core.arrayprint
import time:       822 |        822 |                               numpy.core._asarray
import time:      1489 |       7430 |                             numpy.core.numeric
import time:      1426 |       1426 |                             numpy.core.defchararray
import time:      1087 |       1087 |                             numpy.core.records
import time:       896 |        896 |                             numpy.core.memmap
import time:       913 |        913 |                             numpy.core.function_base
import time:       819 |        819 |                             numpy.core._machar
import time:       914 |        914 |                             numpy.core.getlimits
import time:       923 |        923 |                             numpy.core.einsumfunc
import time:       548 |        548 |                               numpy.core._multiarray_tests
import time:      2169 |       2717 |                             numpy.core._add_newdocs
import time:      1162 |       1162 |                             numpy.core._add_newdocs_scalars
import time:      1071 |       1071 |                             numpy.core._dtype_ctypes
import time:      1434 |       1434 |                             numpy.core._internal
import time:       821 |        821 |                             numpy._pytesttester
import time:      1476 |      37573 |                           numpy.core
import time:        39 |      37611 |                         numpy.core._multiarray_umath
import time:       966 |      38577 |                       numpy.__config__
import time:       979 |        979 |                         numpy.lib.mixins
import time:       754 |        754 |                             numpy.lib.ufunclike
import time:       877 |       1631 |                           numpy.lib.type_check
import time:       819 |       2449 |                         numpy.lib.scimath
import time:       809 |        809 |                                     numpy.lib.stride_tricks
import time:       815 |       1624 |                                   numpy.lib.twodim_base
import time:       658 |        658 |                                   numpy.linalg._umath_linalg
import time:      1518 |       1518 |                                     numpy._typing._nested_sequence
import time:      1017 |       1017 |                                     numpy._typing._nbit
import time:      1337 |       1337 |                                     numpy._typing._char_codes
import time:      1073 |       1073 |                                     numpy._typing._scalars
import time:       756 |        756 |                                     numpy._typing._shape
import time:      1749 |       1749 |                                     numpy._typing._dtype_like
import time:      2189 |       2189 |                                     numpy._typing._array_like
import time:      1099 |      10736 |                                   numpy._typing
import time:      1709 |      14726 |                                 numpy.linalg.linalg
import time:       662 |      15387 |                               numpy.linalg
import time:       867 |      16254 |                             numpy.matrixlib.defmatrix
import time:       663 |      16917 |                           numpy.matrixlib
import time:       823 |        823 |                             numpy.lib.histograms
import time:      1561 |       2384 |                           numpy.lib.function_base
import time:      1098 |      20398 |                         numpy.lib.index_tricks
import time:      1026 |       1026 |                         numpy.lib.nanfunctions
import time:       936 |        936 |                         numpy.lib.shape_base
import time:      1282 |       1282 |                         numpy.lib.polynomial
import time:      1573 |       1573 |                         numpy.lib.utils
import time:       905 |        905 |                         numpy.lib.arraysetops
import time:       742 |        742 |                           numpy.lib.format
import time:       800 |        800 |                           numpy.lib._datasource
import time:      1019 |       1019 |                           numpy.lib._iotools
import time:      1082 |       3642 |                         numpy.lib.npyio
import time:       827 |        827 |                         numpy.lib.arrayterator
import time:       804 |        804 |                         numpy.lib.arraypad
import time:       737 |        737 |                         numpy.lib._version
import time:      1339 |      36893 |                       numpy.lib
import time:       420 |        420 |                           numpy.fft._pocketfft_internal
import time:      1030 |       1450 |                         numpy.fft._pocketfft
import time:       753 |        753 |                         numpy.fft.helper
import time:       896 |       3098 |                       numpy.fft
import time:       899 |        899 |                           numpy.polynomial.polyutils
import time:       940 |        940 |                           numpy.polynomial._polybase
